Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 25°,2W,AJ/CG,AOGLL255/30/25/C,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQvm2JHgz%2FCaph-2-C.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 35°,2W,AJ/CG,AOGLL255/30/35/C,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQvm2JHgz%2FCaph-2-C.png&output=webp&q=78
Caph,AOGLL255,240V AC,NA,3000K, CRI>80, φ48*115mm, 40°,2W,AJ/CG,AOGLL255/30/40/C,,,,6749,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQvm2JHgz%2FCaph-2-C.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 1°,2W,AJ/CG,AOGL0255/30/1/B,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FZpXTYSyF%2FSegin-1-Way-B.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 1°,2W,AJ/CG,AOGL0255/30/1/G,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F8LK9MKLQ%2FSegin-1-Way-G.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 2°,2W,AJ/CG,AOGL0255/30/2/B,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F3mRGWMtg%2FSegin-2-Way-B.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 2°,2W,AJ/CG,AOGL0255/30/2/G,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FqMfCXHvc%2FSegin-2-Way-G.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 4°,2W,AJ/CG,AOGL0255/30/4/B,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FQSyH9Mk%2FSegin-4-Way-G.png&output=webp&q=78
Segin,AOGL0255,240V AC,NA,3000K, CRI>80, φ48*115mm, 4°,2W,AJ/CG,AOGL0255/30/4/G,,,,6799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FgxSwR94%2FSegin-grey.png&output=webp&q=78
Anser,AOGL0611,240V AC,NA,3000K, CRI>80,φ116*38mm,NA,6W,AJ/CG,AOGL0611/30,,,,10699,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FpBWg8NZw%2FAnser.png&output=webp&q=78
